Element ID,Step 1 : R,Step 2 : R,Step 3 : R,Step 4 : R,Step 5 : R,Step 6 : R,Step 7 : R,Step 8 : R,Step 9 : R,Step 10 : R,Step 11 : R,Step 12 : R,Step 13 : R,Step 14 : R,Step 15 : R,Step 16 : R,Step 17 : R,Step 18 : R,Step 19 : R,Step 20 : R,Step 21 : R,Position X,Position Y,Position Z
"Time, s",0.00000000E+0,4.90195000E-5,9.80390000E-5,1.47058500E-4,1.96078000E-4,2.45097500E-4,2.94117000E-4,3.43136500E-4,3.92156000E-4,4.41175500E-4,4.90195000E-4,5.39214500E-4,5.88234000E-4,6.37253500E-4,6.86273000E-4,7.35292500E-4,7.84312000E-4,8.33331500E-4,8.82351000E-4,9.31370500E-4,9.80390000E-4
4,-1.88610962E-1,-1.88338267E-1,-1.87440781E-1,-1.86443368E-1,-1.85727939E-1,-1.85346687E-1,-1.85309520E-1,-1.85572130E-1,-1.86170463E-1,-1.87100521E-1,-1.87831381E-1,-1.87781110E-1,-1.87183490E-1,-1.86431927E-1,-1.85921766E-1,-1.85733375E-1,-1.85930093E-1,-1.86430948E-1,-1.87136126E-1,-1.87989975E-1,-1.88602224E-1,132.112,1.91195,0
5,-1.99056567E-1,-1.98668965E-1,-1.98055179E-1,-1.97517923E-1,-1.97258213E-1,-1.97333248E-1,-1.97688289E-1,-1.98315852E-1,-1.98967713E-1,-1.99260939E-1,-1.99264399E-1,-1.98953114E-1,-1.98473504E-1,-1.98013928E-1,-1.97760578E-1,-1.97806966E-1,-1.98086681E-1,-1.98479612E-1,-1.98817270E-1,-1.99043369E-1,-1.99051583E-1,115.368,64.4,0
14,-2.24761048E+0,-2.24697250E+0,-2.24555571E+0,-2.24422874E+0,-2.24348573E+0,-2.24322353E+0,-2.24319857E+0,-2.24327340E+0,-2.24369726E+0,-2.24461676E+0,-2.24540393E+0,-2.24533915E+0,-2.24472271E+0,-2.24410016E+0,-2.24393775E+0,-2.24422568E+0,-2.24475280E+0,-2.24532041E+0,-2.24602606E+0,-2.24698781E+0,-2.24759433E+0,106.962,28.4015,0
15,-2.10179130E+0,-2.10142082E+0,-2.10059797E+0,-2.09982724E+0,-2.09939564E+0,-2.09924320E+0,-2.09922842E+0,-2.09927155E+0,-2.09951759E+0,-2.10005183E+0,-2.10050910E+0,-2.10047161E+0,-2.10011367E+0,-2.09975223E+0,-2.09965802E+0,-2.09982530E+0,-2.10013140E+0,-2.10046095E+0,-2.10087079E+0,-2.10142949E+0,-2.10178192E+0,104.682,28.3084,0
16,-2.13105093E+0,-2.13060989E+0,-2.12963043E+0,-2.12871301E+0,-2.12819929E+0,-2.12801795E+0,-2.12800057E+0,-2.12805216E+0,-2.12834515E+0,-2.12898096E+0,-2.12952518E+0,-2.12948046E+0,-2.12905432E+0,-2.12862398E+0,-2.12851175E+0,-2.12871083E+0,-2.12907523E+0,-2.12946760E+0,-2.12995545E+0,-2.13062038E+0,-2.13103976E+0,105.119,27.9077,0
17,-2.17976945E+0,-2.17922891E+0,-2.17802849E+0,-2.17690411E+0,-2.17627451E+0,-2.17605232E+0,-2.17603113E+0,-2.17609451E+0,-2.17645366E+0,-2.17723285E+0,-2.17789981E+0,-2.17784494E+0,-2.17732262E+0,-2.17679514E+0,-2.17665753E+0,-2.17690151E+0,-2.17734815E+0,-2.17782908E+0,-2.17842699E+0,-2.17924187E+0,-2.17975577E+0,106.525,28.8021,0
18,-2.13101612E+0,-2.13057512E+0,-2.12959577E+0,-2.12867847E+0,-2.12816481E+0,-2.12798349E+0,-2.12796613E+0,-2.12801773E+0,-2.12831069E+0,-2.12894643E+0,-2.12949058E+0,-2.12944586E+0,-2.12901976E+0,-2.12858946E+0,-2.12847724E+0,-2.12867629E+0,-2.12904066E+0,-2.12943298E+0,-2.12992077E+0,-2.13058563E+0,-2.13100495E+0,105.604,28.5553,0
19,-2.17980404E+0,-2.17926351E+0,-2.17806310E+0,-2.17693872E+0,-2.17630912E+0,-2.17608693E+0,-2.17606573E+0,-2.17612909E+0,-2.17648824E+0,-2.17726742E+0,-2.17793439E+0,-2.17787952E+0,-2.17735721E+0,-2.17682974E+0,-2.17669213E+0,-2.17693611E+0,-2.17738275E+0,-2.17786367E+0,-2.17846157E+0,-2.17927646E+0,-2.17979036E+0,106.04,28.1546,0
31,-2.04073142E-1,-2.03522546E-1,-2.02300390E-1,-2.01155740E-1,-2.00514969E-1,-2.00289375E-1,-2.00268889E-1,-2.00334633E-1,-2.00700745E-1,-2.01492209E-1,-2.02172179E-1,-2.02115797E-1,-2.01583686E-1,-2.01046028E-1,-2.00905462E-1,-2.01153830E-1,-2.01608651E-1,-2.02098721E-1,-2.02707368E-1,-2.03536463E-1,-2.04059201E-1,107.317,23.6601,0
